Site	Morph	Individual	Flower	Avorted	Ovule	Seed	Total
1	Female	2	6	NA	NA	NA	NA
1	Female	4	6	NA	NA	NA	NA
1	Female	6	6	NA	NA	NA	NA
1	Female	7	3	NA	NA	NA	NA
1	Female	7	4	NA	NA	NA	NA
1	Female	7	5	NA	NA	NA	NA
1	Female	7	6	NA	NA	NA	NA
1	Female	8	2	NA	NA	NA	NA
1	Female	8	5	NA	NA	NA	NA
1	Female	8	6	NA	NA	NA	NA
1	Female	9	6	NA	NA	NA	NA
1	Hermaphrodite	1	6	NA	NA	NA	NA
1	Hermaphrodite	2	5	NA	NA	NA	NA
1	Hermaphrodite	2	6	NA	NA	NA	NA
1	Hermaphrodite	5	6	NA	NA	NA	NA
1	Hermaphrodite	7	6	NA	NA	NA	NA
1	Hermaphrodite	8	4	NA	NA	NA	NA
1	Hermaphrodite	8	5	NA	NA	NA	NA
1	Hermaphrodite	8	6	NA	NA	NA	NA
1	Hermaphrodite	9	5	NA	NA	NA	NA
1	Hermaphrodite	9	6	NA	NA	NA	NA
2	Female	1	3	NA	NA	NA	NA
2	Female	1	4	NA	NA	NA	NA
2	Female	1	5	NA	NA	NA	NA
2	Female	1	6	NA	NA	NA	NA
2	Female	2	6	NA	NA	NA	NA
2	Female	3	4	NA	NA	NA	NA
2	Female	3	5	NA	NA	NA	NA
2	Female	3	6	NA	NA	NA	NA
2	Female	4	6	NA	NA	NA	NA
2	Female	9	6	NA	NA	NA	NA
2	Female	10	4	NA	NA	NA	NA
2	Female	10	5	NA	NA	NA	NA
2	Female	10	6	NA	NA	NA	NA
2	Hermaphrodite	1	3	NA	NA	NA	NA
2	Hermaphrodite	1	4	NA	NA	NA	NA
2	Hermaphrodite	1	5	NA	NA	NA	NA
2	Hermaphrodite	1	6	NA	NA	NA	NA
2	Hermaphrodite	2	5	NA	NA	NA	NA
2	Hermaphrodite	2	6	NA	NA	NA	NA
2	Hermaphrodite	3	6	NA	NA	NA	NA
2	Hermaphrodite	4	4	NA	NA	NA	NA
2	Hermaphrodite	4	5	NA	NA	NA	NA
2	Hermaphrodite	4	6	NA	NA	NA	NA
2	Hermaphrodite	6	1	NA	NA	NA	NA
2	Hermaphrodite	6	2	NA	NA	NA	NA
2	Hermaphrodite	6	3	NA	NA	NA	NA
2	Hermaphrodite	6	4	NA	NA	NA	NA
2	Hermaphrodite	6	5	NA	NA	NA	NA
2	Hermaphrodite	6	6	NA	NA	NA	NA
2	Hermaphrodite	7	5	NA	NA	NA	NA
2	Hermaphrodite	7	6	NA	NA	NA	NA
2	Hermaphrodite	8	5	NA	NA	NA	NA
2	Hermaphrodite	8	6	NA	NA	NA	NA
2	Hermaphrodite	9	3	NA	NA	NA	NA
2	Hermaphrodite	9	4	NA	NA	NA	NA
2	Hermaphrodite	9	5	NA	NA	NA	NA
2	Hermaphrodite	9	6	NA	NA	NA	NA
2	Hermaphrodite	10	5	NA	NA	NA	NA
2	Hermaphrodite	10	6	NA	NA	NA	NA
3	Female	1	5	NA	NA	NA	NA
3	Female	1	6	NA	NA	NA	NA
3	Female	2	4	NA	NA	NA	NA
3	Female	2	5	NA	NA	NA	NA
3	Female	2	6	NA	NA	NA	NA
3	Female	4	6	NA	NA	NA	NA
3	Female	5	5	NA	NA	NA	NA
3	Female	5	6	NA	NA	NA	NA
3	Female	6	4	NA	NA	NA	NA
3	Female	6	5	NA	NA	NA	NA
3	Female	6	6	NA	NA	NA	NA
3	Female	7	3	NA	NA	NA	NA
3	Female	9	4	NA	NA	NA	NA
3	Female	9	5	NA	NA	NA	NA
3	Female	9	6	NA	NA	NA	NA
3	Female	10	6	NA	NA	NA	NA
3	Hermaphrodite	1	6	NA	NA	NA	NA
3	Hermaphrodite	2	3	NA	NA	NA	NA
3	Hermaphrodite	2	4	NA	NA	NA	NA
3	Hermaphrodite	2	5	NA	NA	NA	NA
3	Hermaphrodite	2	6	NA	NA	NA	NA
3	Hermaphrodite	3	4	NA	NA	NA	NA
3	Hermaphrodite	3	5	NA	NA	NA	NA
3	Hermaphrodite	3	6	NA	NA	NA	NA
3	Hermaphrodite	4	5	NA	NA	NA	NA
3	Hermaphrodite	4	6	NA	NA	NA	NA
3	Hermaphrodite	5	4	NA	NA	NA	NA
3	Hermaphrodite	5	6	NA	NA	NA	NA
3	Hermaphrodite	6	6	NA	NA	NA	NA
3	Hermaphrodite	7	5	NA	NA	NA	NA
3	Hermaphrodite	7	6	NA	NA	NA	NA
3	Hermaphrodite	8	6	NA	NA	NA	NA
3	Hermaphrodite	9	5	NA	NA	NA	NA
