Site;Temperature;Flower_abundance;Flower_richness;Pollinator_abundance;Pollinator_richness;Landscape
1;21;49179.8;8;78;15;Forest
2;21;44233.5;9;205;16;Prairie
3;18.26530838;34703.9;6;199;16;Bare
4;19.03251648;101458.1;8;146;9;Snow
5;20;32532.7;11;87;12;Forest
6;18.26530838;21467.7;6;40;8;Prairie
7;20;3565;6;49;15;Bare
8;25;35481;8;56;17;Snow
9;23;23481.3;15;109;17;Forest
10;19.03251648;30318.7;7;40;5;Prairie
11;26;5201;6;30;9;Bare
12;18.26530838;34600.1;7;72;10;Snow
13;20;13833;9;40;9;Forest
14;24;17935.2;7;171;18;Prairie
15;32;17249;8;93;13;Bare
16;19;51172.3;11;65;13;Snow
17;25;11996;10;78;16;Forest
18;29;12020.4;9;75;12;Prairie
19;23;31475.8;13;180;24;Bare
20;25;26652;11;171;24;Snow
21;22;8841;17;75;21;Forest
22;33;7088.8;7;47;12;Prairie
23;22;25047;9;103;8;Bare
24;31;23784.4;11;228;18;Snow
25;18;15295.3;6;66;7;Forest
26;19;4296.2;4;11;7;Prairie
27;18;17214.3;8;18;5;Bare
28;19;10251;9;14;8;Snow
29;20;54366.9;13;59;13;Forest
30;23;28033.5;11;98;17;Prairie
31;22;11922;7;62;12;Bare
32;24;46948.2;9;123;15;Snow
33;22;21162.9;9;81;13;Forest
34;24;13819.9;10;56;24;Prairie
35;20;5317.3;12;24;17;Bare
36;19.03251648;112769.3;6;173;14;Snow
37;20;55713.8;13;148;26;Forest
38;24;48125.6;13;143;28;Prairie
39;19.03251648;26215.9;7;42;9;Bare
40;17;7419.2;6;22;8;Snow
