PLOT	X	Y	Flower_abundance	Flower_richness	Pollinator_richness	Pollinator_abundance	Wild_abundance	Wild_rate	Honeybee_abundance	Honeybee_rate
1	1.918790	41.273900	49179.80	7.00	15.00	78.00	19.00	0.39	59.00	1.20
2	1.913200	41.297480	44233.50	8.00	16.00	205.00	27.00	0.61	178.00	4.02
3	1.899100	41.281164	34703.90	5.00	16.00	199.00	77.00	2.22	122.00	3.52
4	1.884117	41.279489	101458.10	7.00	9.00	146.00	27.00	0.27	119.00	1.17
5	1.873418	41.281519	32532.70	10.00	12.00	87.00	22.00	0.68	65.00	2.00
6	1.862565	41.286098	21467.70	5.00	8.00	40.00	12.00	0.56	28.00	1.30
7	1.860773	41.295740	18039.23	5.00	15.00	49.00	19.00	1.05	30.00	1.66
8	1.874534	41.298283	9891.99	7.00	17.00	56.00	24.00	2.43	32.00	3.23
9	1.891794	41.290416	23481.30	14.00	17.00	109.00	27.00	1.15	82.00	3.49
10	1.909790	41.283000	30318.70	6.00	5.00	40.00	7.00	0.23	33.00	1.09
11	1.872860	41.287449	5201.00	5.00	9.00	30.00	9.00	1.73	21.00	4.04
12	1.924495	41.291915	34600.10	6.00	10.00	72.00	34.00	0.98	38.00	1.10
13	1.914690	41.279443	13833.00	8.00	9.00	40.00	10.00	0.72	30.00	2.17
14	1.931036	41.308390	17935.20	6.00	18.00	171.00	28.00	1.56	143.00	7.97
15	1.879389	41.295472	17249.00	7.00	13.00	93.00	38.00	2.20	55.00	3.19
16	1.890676	41.302355	51172.30	10.00	13.00	65.00	17.00	0.33	48.00	0.94
17	1.919027	41.306184	11996.00	9.00	16.00	78.00	19.00	1.58	59.00	4.92
18	1.897001	41.306383	12020.40	8.00	12.00	75.00	17.00	1.41	58.00	4.83
19	1.923469	41.314240	31475.80	12.00	24.00	180.00	37.00	1.18	143.00	4.54
20	1.909116	41.308443	26652.00	10.00	24.00	171.00	36.00	1.35	135.00	5.07
21	1.884722	41.298167	8841.00	16.00	21.00	75.00	38.00	4.30	37.00	4.19
22	1.940203	41.312919	7088.80	6.00	12.00	47.00	22.00	3.10	25.00	3.53
23	1.884139	41.286639	25047.00	8.00	8.00	103.00	9.00	0.36	94.00	3.75
24	1.918568	41.310892	23784.40	10.00	18.00	228.00	43.00	1.81	185.00	7.78
25	1.869758	41.295658	15295.30	5.00	7.00	66.00	6.00	0.39	60.00	3.92
26	1.909730	41.289290	4296.20	3.00	7.00	11.00	8.00	1.86	3.00	0.70
27	1.913610	41.292920	17214.30	7.00	5.00	18.00	5.00	0.29	13.00	0.76
28	1.930010	41.287030	10251.00	8.00	8.00	14.00	8.00	0.78	6.00	0.59
29	1.907760	41.300250	54366.90	12.00	13.00	59.00	27.00	0.50	32.00	0.59
30	1.901370	41.300830	28033.50	10.00	17.00	98.00	23.00	0.82	75.00	2.68
31	1.850380	41.301490	11922.00	6.00	12.00	62.00	26.00	2.18	36.00	3.02
32	1.865857	41.275981	46948.20	8.00	15.00	123.00	17.00	0.36	106.00	2.26
33	1.853878	41.280115	21162.90	8.00	13.00	81.00	23.00	1.09	58.00	2.74
34	1.843785	41.282112	13819.90	9.00	24.00	56.00	35.00	2.53	21.00	1.52
35	1.834570	41.282537	5317.30	11.00	17.00	24.00	21.00	3.95	3.00	0.56
36	1.840066	41.267752	112769.30	5.00	14.00	173.00	35.00	0.31	138.00	1.22
37	1.856900	41.270087	55713.80	12.00	26.00	148.00	67.00	1.20	81.00	1.45
38	1.878444	41.269453	48125.60	12.00	28.00	143.00	60.00	1.25	83.00	1.72
39	1.884186	41.263982	26215.90	6.00	9.00	42.00	19.00	0.72	23.00	0.88
40	1.901667	41.290167	7419.20	5.00	8.00	22.00	9.00	1.21	13.00	1.75
