Site	Morph	Individual	Weight	Embryo
25	Female	15	0.115	morta
9	Hermaphrodite	12	0.109	morta
34	Hermaphrodite	1	0.109	morta
38	Hermaphrodite	31	0.108	morta
37	Female	7	0.106	morta
5	Hermaphrodite	19	0.105	morta
14	Female	2	0.103	morta
35	Female	7	0.096	morta
38	Female	21	0.096	morta
16	Female	8	0.095	morta
2	Female	19	0.093	morta
5	Female	3	0.093	morta
5	Female	17	0.093	morta
9	Hermaphrodite	25	0.093	morta
25	Female	7	0.093	morta
20	Female	7	0.092	morta
38	Hermaphrodite	18	0.092	morta
37	Female	41	0.091	morta
34	Hermaphrodite	4	0.090	morta
34	Hermaphrodite	3	0.089	morta
2	Female	27	0.088	morta
39	Hermaphrodite	8	0.088	morta
18	Hermaphrodite	2	0.087	morta
36	Hermaphrodite	1	0.086	morta
24	Female	3	0.085	morta
35	Female	26	0.085	morta
2	Female	21	0.084	morta
5	Female	29	0.083	morta
5	Hermaphrodite	3	0.082	morta
9	Hermaphrodite	15	0.082	morta
9	Hermaphrodite	19	0.082	morta
6	Hermaphrodite	5	0.081	morta
14	Female	1	0.081	morta
25	Female	1	0.081	morta
36	Hermaphrodite	6	0.081	morta
9	Hermaphrodite	2	0.080	morta
21	Female	21	0.079	morta
25	Female	9	0.079	morta
9	Hermaphrodite	6	0.078	morta
20	Female	11	0.077	morta
24	Female	2	0.077	morta
36	Hermaphrodite	8	0.076	morta
9	Female	22	0.075	morta
9	Hermaphrodite	14	0.075	morta
1	Hermaphrodite	27	0.074	morta
23	Female	8	0.074	morta
25	Female	6	0.074	morta
10	Female	1	0.073	morta
30	Female	12	0.073	morta
2	Female	26	0.072	morta
20	Hermaphrodite	7	0.072	morta
19	Female	1	0.071	morta
26	Female	2	0.071	morta
5	Hermaphrodite	17	0.070	morta
10	Hermaphrodite	18	0.070	morta
17	Hermaphrodite	11	0.070	morta
19	Female	5	0.070	morta
20	Female	3	0.070	morta
36	Hermaphrodite	9	0.070	morta
21	Female	5	0.069	morta
5	Female	10	0.068	morta
5	Female	20	0.068	morta
20	Hermaphrodite	3	0.068	morta
30	Female	9	0.068	morta
30	Hermaphrodite	6	0.068	morta
39	Female	27	0.068	morta
39	Hermaphrodite	4	0.068	morta
2	Hermaphrodite	7	0.067	morta
2	Hermaphrodite	11	0.067	morta
3	Female	30	0.067	morta
9	Female	15	0.067	morta
39	Female	10	0.067	morta
1	Female	18	0.066	morta
12	Hermaphrodite	14	0.066	morta
33	Hermaphrodite	4	0.066	morta
1	Hermaphrodite	7	0.065	morta
5	Female	5	0.065	morta
9	Female	14	0.065	morta
31	Hermaphrodite	20	0.065	morta
32	Hermaphrodite	19	0.065	morta
34	Female	7	0.065	morta
36	Hermaphrodite	5	0.065	morta
39	Female	8	0.065	morta
17	Female	7	0.064	morta
17	Female	22	0.064	morta
23	Female	31	0.064	morta
31	Hermaphrodite	15	0.064	morta
34	Hermaphrodite	2	0.064	morta
38	Hermaphrodite	28	0.064	morta
39	Hermaphrodite	7	0.064	morta
