nest	sociality	lecty
ground	eusocial	polilectic
wood	solitary	oligolectic
cavities	primitive_social	polilectic
ground	gregary	polilectic
ground	primitive_social	oligolectic
wood	eusocial	oligolectic
cavities	solitary	polilectic
wood	primitive_social	oligolectic
ground	gregary	oligolectic
cavities	eusocial	oligolectic
cavities	solitary	oligolectic
wood	eusocial	oligolectic
ground	primitive_social	oligolectic
wood	primitive_social	polilectic
wood	primitive_social	polilectic
ground	gregary	polilectic
ground	solitary	polilectic
wood	gregary	polilectic
cavities	solitary	polilectic
ground	primitive_social	polilectic
wood	primitive_social	polilectic
wood	gregary	oligolectic
wood	eusocial	oligolectic
ground	gregary	oligolectic
ground	eusocial	oligolectic
ground	gregary	polilectic
cavities	eusocial	polilectic
cavities	eusocial	polilectic
wood	primitive_social	polilectic
cavities	gregary	oligolectic
wood	primitive_social	oligolectic
cavities	eusocial	oligolectic
wood	primitive_social	polilectic
cavities	eusocial	polilectic
wood	eusocial	oligolectic
